freq[Hz],db:Trc2_S21,ang:Trc2_S21,,,,
1.180626875625208E+011,-6.68E+00,6.255660302799885E+001,,,,
1.180826942314105E+011,-6.43E+00,2.337196637715204E+001,,,,
1.181027009003001E+011,-6.16E+00,-1.80E+01,,,,
1.181227075691897E+011,-6.17E+00,-6.05E+01,,,,
1.181427142380794E+011,-6.44E+00,-1.01E+02,,,,
1.181627209069690E+011,-6.51E+00,-1.40E+02,,,,
1.181827275758586E+011,-6.32E+00,-1.80E+02,,,,
1.182027342447483E+011,-6.14E+00,1.390822191127149E+002,,,,
1.182227409136379E+011,-6.16E+00,9.727047076409637E+001,,,,
1.182427475825275E+011,-6.35E+00,5.694867505018313E+001,,,,
1.182627542514171E+011,-6.40E+00,1.769887532838145E+001,,,,
1.182827609203068E+011,-6.32E+00,-2.20E+01,,,,
1.183027675891964E+011,-6.26E+00,-6.25E+01,,,,
1.183227742580860E+011,-6.38E+00,-1.03E+02,,,,
1.183427809269757E+011,-6.51E+00,-1.42E+02,,,,
1.183627875958653E+011,-6.45E+00,1.790491239394468E+002,,,,
1.183827942647549E+011,-6.31E+00,1.396530243503017E+002,,,,
1.184028009336446E+011,-6.22E+00,9.917874426833848E+001,,,,
1.184228076025342E+011,-6.35E+00,5.871196215634707E+001,,,,
1.184428142714238E+011,-6.47E+00,2.032977123421335E+001,,,,
1.184628209403135E+011,-6.41E+00,-1.81E+01,,,,
